energy_relative_fermi_ev,energy_absolute_ev,dos_states_per_ev_per_cell
-8.28000000000008,-0.47820000000007923,0.42945279409441817
-8.27000000000008,-0.46820000000007944,0.42125940938922546
-8.26000000000008,-0.45820000000007965,0.4117851379784983
-8.25000000000008,-0.44820000000007987,0.40112352826257897
-8.24000000000008,-0.4382000000000801,0.389379056636238
-8.23000000000008,-0.4282000000000803,0.37666569345559625
-8.22000000000008,-0.4182000000000805,0.36310536799760906
-8.21000000000008,-0.4082000000000807,0.3488263617443505
-8.200000000000081,-0.39820000000008093,0.33396166034774216
-8.190000000000081,-0.38820000000008115,0.31864729491706556
-8.180000000000081,-0.37820000000008136,0.30302070277455356
-8.170000000000082,-0.3682000000000816,0.2872191365197816
-8.160000000000082,-0.3582000000000818,0.27137814813565614
-8.150000000000082,-0.348200000000082,0.2556301719934511
-8.140000000000082,-0.3382000000000822,0.24010322704125842
-8.130000000000082,-0.3282000000000824,0.22491975429306968
-8.120000000000083,-0.31820000000008264,0.21019560111049582
-8.110000000000083,-0.30820000000008285,0.19603915885006304
-8.100000000000083,-0.29820000000008307,0.1825506554228604
-8.090000000000083,-0.2882000000000833,0.16982159938137034
-8.080000000000084,-0.2782000000000835,0.1579343675177407
-8.070000000000084,-0.2682000000000837,0.14696192383114545
-8.060000000000084,-0.2582000000000839,0.13696765428721222
-8.050000000000084,-0.24820000000008413,0.12800529921261933
-8.040000000000084,-0.23820000000008434,0.120118963571487
-8.030000000000085,-0.22820000000008456,0.11334318484310184
-8.020000000000085,-0.21820000000008477,0.10770303880028317
-8.010000000000085,-0.20820000000008498,0.10321426515895744
-8.000000000000085,-0.1982000000000852,0.09988339776290261
-7.9900000000000855,-0.1882000000000854,0.09770788756082173
-7.980000000000086,-0.17820000000008562,0.0966762109546949
-7.970000000000086,-0.16820000000008584,0.09676796093519596
-7.960000000000086,-0.15820000000008605,0.09795392352486439
-7.950000000000086,-0.14820000000008626,0.10019614715328538
-7.9400000000000865,-0.13820000000008648,0.10344801741131797
-7.930000000000087,-0.1282000000000867,0.10765435389747262
-7.920000000000087,-0.1182000000000869,0.11275154932004137
-7.910000000000087,-0.10820000000008712,0.11866777342539568
-7.900000000000087,-0.09820000000008733,0.12532326550079517
-7.890000000000088,-0.08820000000008754,0.13263073901772643
-7.880000000000088,-0.07820000000008775,0.14049592037001177
-7.870000000000088,-0.06820000000008797,0.14881824061843352
-7.860000000000088,-0.05820000000008818,0.1574916947495034
-7.8500000000000885,-0.048200000000088394,0.16640587732886764
-7.840000000000089,-0.03820000000008861,0.1754471967832438
-7.830000000000089,-0.02820000000008882,0.184500263139504
-7.820000000000089,-0.018200000000089034,0.19344943619248617
-7.810000000000089,-0.008200000000089247,0.2021805131038177
-7.8000000000000895,0.0017999999999105398,0.21058252670896005
-7.79000000000009,0.011799999999910327,0.21854961868530073
-7.78000000000009,0.021799999999910114,0.22598294554996956
-7.77000000000009,0.0317999999999099,0.23279257051776395
-7.76000000000009,0.04179999999990969,0.23889929081404868
-7.750000000000091,0.051799999999909474,0.24423634830013552
-7.740000000000091,0.06179999999990926,0.24875097135328286
-7.730000000000091,0.07179999999990905,0.25240569789708084
-7.720000000000091,0.08179999999990883,0.25517943326786013
-7.7100000000000914,0.09179999999990862,0.25706820211930315
-7.700000000000092,0.10179999999990841,0.2580855606296252
